date,localName,name,countryCode,fixed,global,counties,launchYear,types
2021-05-01,Svátek práce,Labour Day,CZ,False,True,,,['Public']
2021-05-08,Den vítězství,Liberation Day,CZ,False,True,,,['Public']
2021-07-05,Den slovanských věrozvěstů Cyrila a Metoděje,Saints Cyril and Methodius Day,CZ,False,True,,,['Public']
2021-07-06,Den upálení mistra Jana Husa,Jan Hus Day,CZ,False,True,,,['Public']
2021-09-28,Den české státnosti,St. Wenceslas Day,CZ,False,True,,,['Public']
2021-10-28,Den vzniku samostatného československého státu,Independent Czechoslovak State Day,CZ,False,True,,,['Public']
2021-11-17,Den boje za svobodu a demokracii a Mezinárodní den studentstva,Struggle for Freedom and Democracy Day,CZ,False,True,,,['Public']
2021-12-24,Štědrý den,Christmas Eve,CZ,False,True,,,['Public']
2021-12-25,1. svátek vánoční,Christmas Day,CZ,False,True,,,['Public']
2021-12-26,2. svátek vánoční,St. Stephen's Day,CZ,False,True,,,['Public']
2022-01-01,Den obnovy samostatného českého státu; Nový rok,New Year's Day,CZ,False,True,,,['Public']
2022-04-15,Velký pátek,Good Friday,CZ,False,True,,,['Public']
2022-04-18,Velikonoční pondělí,Easter Monday,CZ,False,True,,,['Public']
2022-05-01,Svátek práce,Labour Day,CZ,False,True,,,['Public']
2022-05-08,Den vítězství,Liberation Day,CZ,False,True,,,['Public']
2022-07-05,Den slovanských věrozvěstů Cyrila a Metoděje,Saints Cyril and Methodius Day,CZ,False,True,,,['Public']
2022-07-06,Den upálení mistra Jana Husa,Jan Hus Day,CZ,False,True,,,['Public']
2022-09-28,Den české státnosti,St. Wenceslas Day,CZ,False,True,,,['Public']
2022-10-28,Den vzniku samostatného československého státu,Independent Czechoslovak State Day,CZ,False,True,,,['Public']
2022-11-17,Den boje za svobodu a demokracii a Mezinárodní den studentstva,Struggle for Freedom and Democracy Day,CZ,False,True,,,['Public']
2022-12-24,Štědrý den,Christmas Eve,CZ,False,True,,,['Public']
2022-12-25,1. svátek vánoční,Christmas Day,CZ,False,True,,,['Public']
2022-12-26,2. svátek vánoční,St. Stephen's Day,CZ,False,True,,,['Public']
2023-01-01,Den obnovy samostatného českého státu; Nový rok,New Year's Day,CZ,False,True,,,['Public']
2023-04-07,Velký pátek,Good Friday,CZ,False,True,,,['Public']
2023-04-10,Velikonoční pondělí,Easter Monday,CZ,False,True,,,['Public']
2023-05-01,Svátek práce,Labour Day,CZ,False,True,,,['Public']
2023-05-08,Den vítězství,Liberation Day,CZ,False,True,,,['Public']
2023-07-05,Den slovanských věrozvěstů Cyrila a Metoděje,Saints Cyril and Methodius Day,CZ,False,True,,,['Public']
2023-07-06,Den upálení mistra Jana Husa,Jan Hus Day,CZ,False,True,,,['Public']
2023-09-28,Den české státnosti,St. Wenceslas Day,CZ,False,True,,,['Public']
2023-10-28,Den vzniku samostatného československého státu,Independent Czechoslovak State Day,CZ,False,True,,,['Public']
2023-11-17,Den boje za svobodu a demokracii a Mezinárodní den studentstva,Struggle for Freedom and Democracy Day,CZ,False,True,,,['Public']
2023-12-24,Štědrý den,Christmas Eve,CZ,False,True,,,['Public']
2023-12-25,1. svátek vánoční,Christmas Day,CZ,False,True,,,['Public']
2023-12-26,2. svátek vánoční,St. Stephen's Day,CZ,False,True,,,['Public']
2024-01-01,Den obnovy samostatného českého státu; Nový rok,New Year's Day,CZ,False,True,,,['Public']
2024-03-29,Velký pátek,Good Friday,CZ,False,True,,,['Public']
2024-04-01,Velikonoční pondělí,Easter Monday,CZ,False,True,,,['Public']
2024-05-01,Svátek práce,Labour Day,CZ,False,True,,,['Public']
2024-05-08,Den vítězství,Liberation Day,CZ,False,True,,,['Public']
2024-07-05,Den slovanských věrozvěstů Cyrila a Metoděje,Saints Cyril and Methodius Day,CZ,False,True,,,['Public']
2024-07-06,Den upálení mistra Jana Husa,Jan Hus Day,CZ,False,True,,,['Public']
2024-09-28,Den české státnosti,St. Wenceslas Day,CZ,False,True,,,['Public']
2024-10-28,Den vzniku samostatného československého státu,Independent Czechoslovak State Day,CZ,False,True,,,['Public']
2024-11-17,Den boje za svobodu a demokracii a Mezinárodní den studentstva,Struggle for Freedom and Democracy Day,CZ,False,True,,,['Public']
2024-12-24,Štědrý den,Christmas Eve,CZ,False,True,,,['Public']
2024-12-25,1. svátek vánoční,Christmas Day,CZ,False,True,,,['Public']
2024-12-26,2. svátek vánoční,St. Stephen's Day,CZ,False,True,,,['Public']
2025-01-01,Den obnovy samostatného českého státu; Nový rok,New Year's Day,CZ,False,True,,,['Public']
2025-04-18,Velký pátek,Good Friday,CZ,False,True,,,['Public']
2025-04-21,Velikonoční pondělí,Easter Monday,CZ,False,True,,,['Public']
2025-05-01,Svátek práce,Labour Day,CZ,False,True,,,['Public']
2025-05-08,Den vítězství,Liberation Day,CZ,False,True,,,['Public']
2025-07-05,Den slovanských věrozvěstů Cyrila a Metoděje,Saints Cyril and Methodius Day,CZ,False,True,,,['Public']
2025-07-06,Den upálení mistra Jana Husa,Jan Hus Day,CZ,False,True,,,['Public']
2025-09-28,Den české státnosti,St. Wenceslas Day,CZ,False,True,,,['Public']
2025-10-28,Den vzniku samostatného československého státu,Independent Czechoslovak State Day,CZ,False,True,,,['Public']
2025-11-17,Den boje za svobodu a demokracii a Mezinárodní den studentstva,Struggle for Freedom and Democracy Day,CZ,False,True,,,['Public']
2025-12-24,Štědrý den,Christmas Eve,CZ,False,True,,,['Public']
2025-12-25,1. svátek vánoční,Christmas Day,CZ,False,True,,,['Public']
2025-12-26,2. svátek vánoční,St. Stephen's Day,CZ,False,True,,,['Public']
